	EU27	non_EU27	EU27_NOR_CHE	non_EU27_NOR_CHE	ALL
AT	1	0	1	0	1
AU	0	1	0	1	1
BE	1	0	1	0	1
BG	1	0	1	0	1
BR	0	1	0	1	1
CA	0	1	0	1	1
CH	0	1	1	0	1
CN	0	1	0	1	1
CY	1	0	1	0	1
CZ	1	0	1	0	1
DE	1	0	1	0	1
DK	1	0	1	0	1
EE	1	0	1	0	1
ES	1	0	1	0	1
FI	1	0	1	0	1
FR	1	0	1	0	1
GB	0	1	0	1	1
GR	1	0	1	0	1
HR	1	0	1	0	1
HU	1	0	1	0	1
ID	0	1	0	1	1
IE	1	0	1	0	1
IN	0	1	0	1	1
IT	1	0	1	0	1
JP	0	1	0	1	1
KR	0	1	0	1	1
LT	1	0	1	0	1
LU	1	0	1	0	1
LV	1	0	1	0	1
MT	1	0	1	0	1
MX	0	1	0	1	1
NL	1	0	1	0	1
NO	0	1	1	0	1
PL	1	0	1	0	1
PT	1	0	1	0	1
RO	1	0	1	0	1
RU	0	1	0	1	1
SE	1	0	1	0	1
SI	1	0	1	0	1
SK	1	0	1	0	1
TR	0	1	0	1	1
TW	0	1	0	1	1
US	0	1	0	1	1
WA	0	1	0	1	1
WE	0	1	0	1	1
WF	0	1	0	1	1
WL	0	1	0	1	1
WM	0	1	0	1	1
ZA	0	1	0	1	1
