	Aluminium	Cement	Electricity	Fertilizer	Iron and steel	Agriculture	Mining	Other manufacturing	Construction	Services	ACEFIS	nonACEFIS
Paddy rice	0	0	0	0	0	1	0	0	0	0	0	1
Wheat	0	0	0	0	0	1	0	0	0	0	0	1
Cereal grains nec	0	0	0	0	0	1	0	0	0	0	0	1
Vegetables, fruit, nuts	0	0	0	0	0	1	0	0	0	0	0	1
Oil seeds	0	0	0	0	0	1	0	0	0	0	0	1
Sugar cane, sugar beet	0	0	0	0	0	1	0	0	0	0	0	1
Plant-based fibers	0	0	0	0	0	1	0	0	0	0	0	1
Crops nec	0	0	0	0	0	1	0	0	0	0	0	1
Cattle	0	0	0	0	0	1	0	0	0	0	0	1
Pigs	0	0	0	0	0	1	0	0	0	0	0	1
Poultry	0	0	0	0	0	1	0	0	0	0	0	1
Meat animals nec	0	0	0	0	0	1	0	0	0	0	0	1
Animal products nec	0	0	0	0	0	1	0	0	0	0	0	1
Raw milk	0	0	0	0	0	1	0	0	0	0	0	1
Wool, silk-worm cocoons	0	0	0	0	0	1	0	0	0	0	0	1
Manure (conventional treatment)	0	0	0	0	0	1	0	0	0	0	0	1
Manure (biogas treatment)	0	0	0	0	0	1	0	0	0	0	0	1
Products of forestry, logging and related services (02)	0	0	0	0	0	1	0	0	0	0	0	1
Fish and other fishing products; services incidental of fishing (05)	0	0	0	0	0	1	0	0	0	0	0	1
Anthracite	0	0	0	0	0	0	1	0	0	0	0	1
Coking Coal	0	0	0	0	0	0	1	0	0	0	0	1
Other Bituminous Coal	0	0	0	0	0	0	1	0	0	0	0	1
Sub-Bituminous Coal	0	0	0	0	0	0	1	0	0	0	0	1
Patent Fuel	0	0	0	0	0	0	1	0	0	0	0	1
Lignite/Brown Coal	0	0	0	0	0	0	1	0	0	0	0	1
BKB/Peat Briquettes	0	0	0	0	0	0	1	0	0	0	0	1
Peat	0	0	0	0	0	0	1	0	0	0	0	1
Crude petroleum and services related to crude oil extraction, excluding surveying	0	0	0	0	0	0	1	0	0	0	0	1
Natural gas and services related to natural gas extraction, excluding surveying	0	0	0	0	0	0	1	0	0	0	0	1
Natural Gas Liquids	0	0	0	0	0	0	1	0	0	0	0	1
Other Hydrocarbons	0	0	0	0	0	0	1	0	0	0	0	1
Uranium and thorium ores (12)	0	0	0	0	0	0	1	0	0	0	0	1
Iron ores	0	0	0	0	0	0	1	0	0	0	0	1
Copper ores and concentrates	0	0	0	0	0	0	1	0	0	0	0	1
Nickel ores and concentrates	0	0	0	0	0	0	1	0	0	0	0	1
Aluminium ores and concentrates	0	0	0	0	0	0	1	0	0	0	0	1
