	US	EU27
EU27	0.762	1.000
AT	0.863	1.133
BE	0.859	1.127
BG	0.403	0.530
CY	0.690	0.906
CZ	0.552	0.725
DE	0.841	1.104
DK	1.018	1.337
EE	0.618	0.812
ES	0.709	0.931
FI	0.966	1.269
FR	0.827	1.086
GR	0.630	0.828
HR	0.501	0.658
HU	0.499	0.656
IE	0.926	1.215
IT	0.759	0.996
LT	0.508	0.667
LU	0.965	1.267
LV	0.562	0.738
MT	0.658	0.864
NL	0.889	1.168
PL	0.465	0.611
PT	0.645	0.847
RO	0.405	0.532
SE	0.951	1.249
SI	0.638	0.838
SK	0.604	0.793
GB	0.878	1.153
US	1.000	1.313
JP	0.957	1.256
CN	0.609	0.800
CA	0.940	1.234
KR	0.742	0.974
BR	0.578	0.759
IN	0.300	0.394
MX	0.501	0.658
RU	0.384	0.504
AU	1.060	1.392
CH	1.185	1.556
TR	0.340	0.446
TW	0.449	0.589
NO	1.134	1.488
ID	0.336	0.441
ZA	0.464	0.609
WA	0.381	0.500
WL	0.478	0.628
WE	0.333	0.437
WF	0.385	0.505
WM	0.458	0.602
